v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,39010,0x365f00baeb00,15,GlobalEncodeURIComponent
code-creation,Builtin,3,39081,0x365f00baeb60,15,GlobalEscape
code-creation,Builtin,3,39167,0x365f00baebc0,15,GlobalUnescape
code-creation,Builtin,3,39240,0x365f00baec20,15,GlobalEval
code-creation,Builtin,3,39308,0x365f00baec80,15,JsonParse
code-creation,Builtin,3,39385,0x365f00baece0,15,JsonStringify
code-creation,Builtin,3,39466,0x365f00baed40,2775,LoadIC
code-creation,Builtin,3,39537,0x365f00baf860,2683,LoadIC_Noninlined
code-creation,Builtin,3,39607,0x365f00bb0320,32,LoadICTrampoline
code-creation,Builtin,3,39679,0x365f00bb0380,5644,KeyedLoadIC
code-creation,Builtin,3,39748,0x365f00bb19e0,32,KeyedLoadICTrampoline
code-creation,Builtin,3,39826,0x365f00bb1a40,6192,StoreGlobalIC
code-creation,Builtin,3,39906,0x365f00bb32c0,32,StoreGlobalICTrampoline
tick,0x7f324dba410d,39990,0,0x0,6
tick,0x7f324d8b2187,40094,0,0x0,6
